,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,Company
0,3,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000,21,27,13495.0,alfa-romero
1,3,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000,21,27,16500.0,alfa-romero
2,1,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823.0,ohcv,six,152.0,mpfi,2.68,3.47,9.0,154.0,5000,19,26,16500.0,alfa-romero
3,2,gas,std,four,sedan,4wd,front,99.8,176.6,66.2,54.3,2337.0,ohc,four,126.0,mpfi,3.19,3.4,10.0,102.0,5500,24,30,13950.0,audi
5,2,gas,std,two,sedan,4wd,front,99.8,177.3,66.3,53.1,2507.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500,19,25,15250.0,audi
6,1,gas,std,four,sedan,4wd,front,105.8,192.7,71.4,55.7,2844.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500,19,25,17710.0,audi
8,1,gas,turbo,four,sedan,4wd,front,105.8,192.7,71.4,55.9,3086.0,ohc,five,131.0,mpfi,3.13,3.4,8.3,140.0,5500,17,20,23875.0,audi
9,0,gas,turbo,two,hatchback,4wd,front,99.5,178.2,67.9,52.0,3053.0,ohc,five,131.0,mpfi,3.13,3.4,7.0,68.0,5500,16,22,17859.167,audi
10,2,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800,23,29,16430.0,bmw
11,0,gas,std,four,sedan,4wd,front,101.2,176.8,64.8,54.3,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800,23,29,16925.0,bmw
12,0,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250,21,28,20970.0,bmw
13,0,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250,21,28,21105.0,bmw
14,1,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250,20,25,24565.0,bmw
15,0,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230.0,ohc,six,126.0,mpfi,3.62,3.39,8.0,182.0,5400,16,22,30760.0,bmw
16,0,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400,16,22,41315.0,bmw
17,0,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,68.0,5400,15,20,36880.0,bmw
19,1,gas,std,two,hatchback,4wd,front,94.5,155.9,63.6,52.0,1874.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400,38,43,6295.0,chevrolet
20,0,gas,std,four,sedan,4wd,front,94.5,158.8,63.6,52.0,1909.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400,38,43,6575.0,chevrolet
21,1,gas,std,two,hatchback,4wd,front,93.7,157.3,63.8,50.8,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.41,68.0,5500,37,41,5572.0,dodge
22,1,gas,std,two,sedan,4wd,front,93.7,157.3,63.8,50.8,2554.0,ohc,four,90.0,mpfi,2.97,3.23,9.4,68.0,5500,31,38,6377.0,dodge
23,1,gas,turbo,two,hatchback,4wd,front,93.7,157.3,63.8,50.8,2128.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500,24,30,7957.0,dodge
24,1,gas,std,four,hatchback,4wd,front,93.7,157.3,63.8,50.6,1967.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500,31,38,6229.0,dodge
25,1,gas,std,four,sedan,4wd,front,93.7,157.3,63.8,50.6,1989.0,ohc,four,90.0,mpfi,2.97,3.23,9.4,68.0,5500,31,38,6692.0,dodge
26,1,gas,std,four,sedan,4wd,front,93.7,157.3,63.8,50.6,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500,31,38,7609.0,dodge
27,1,gas,turbo,two,sedan,4wd,front,93.7,157.3,63.8,50.6,2191.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500,24,30,8558.0,dodge
28,-1,gas,std,four,sedan,4wd,front,103.3,174.6,64.6,59.8,2535.0,ohc,four,122.0,2bbl,3.34,3.46,8.5,88.0,5000,24,30,8921.0,dodge
29,3,gas,turbo,two,hatchback,4wd,front,95.9,173.2,66.3,50.2,2811.0,ohc,four,156.0,mfi,3.6,3.9,7.0,145.0,5000,19,24,12964.0,dodge
30,2,gas,std,two,hatchback,4wd,front,86.6,144.6,63.9,50.8,1713.0,ohc,four,92.0,1bbl,2.91,3.41,9.6,58.0,4800,49,54,6479.0,honda
31,2,gas,std,two,hatchback,4wd,front,86.6,144.6,63.9,50.8,1819.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000,31,38,6855.0,honda
32,1,gas,std,two,fwd,4wd,front,93.7,150.0,64.0,52.6,1837.0,ohc,four,79.0,1bbl,2.91,3.07,10.1,60.0,5500,38,42,5399.0,honda
34,1,gas,std,two,hatchback,4wd,front,93.7,150.0,64.0,52.6,1956.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000,30,34,7129.0,honda
35,0,gas,std,four,sedan,4wd,front,96.5,163.4,64.0,54.5,2010.0,ohc,four,126.0,1bbl,2.91,3.41,9.2,76.0,6000,30,34,7295.0,honda
36,0,gas,std,four,wagon,4wd,front,96.5,157.1,63.9,58.3,2024.0,ohc,four,92.0,1bbl,2.92,3.41,9.2,76.0,6000,30,34,7295.0,honda
37,0,gas,std,two,hatchback,4wd,front,96.5,167.5,65.2,53.3,2236.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,68.0,5800,27,33,7895.0,honda
38,0,gas,std,two,hatchback,4wd,front,96.5,167.5,65.2,53.3,2289.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800,27,33,9095.0,honda
39,0,gas,std,four,sedan,4wd,front,96.5,175.4,65.2,54.1,2304.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800,27,33,8845.0,honda
40,0,gas,std,four,sedan,4wd,front,96.5,175.4,62.5,54.1,2554.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800,27,33,10295.0,honda
41,0,gas,std,four,sedan,4wd,front,96.5,175.4,65.2,54.1,2465.0,ohc,four,110.0,mpfi,3.15,3.58,9.0,101.0,5800,24,28,12945.0,honda
42,1,gas,std,two,sedan,4wd,front,96.5,169.1,66.0,51.0,2293.0,ohc,four,110.0,2bbl,3.15,3.58,9.1,100.0,5500,25,31,10345.0,honda
43,0,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337.0,ohc,four,111.0,2bbl,3.31,3.23,8.5,78.0,4800,24,29,6785.0,isuzu
44,1,gas,std,two,sedan,4wd,front,94.5,155.9,63.6,52.0,1874.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400,38,43,8916.5,isuzu
45,0,gas,std,four,sedan,4wd,front,94.5,155.9,63.6,52.0,1909.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400,38,43,8916.5,isuzu
46,2,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734.0,ohc,four,119.0,spfi,3.43,3.23,9.2,90.0,5000,24,29,11048.0,isuzu
48,0,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176.0,4750,15,19,35550.0,jaguar
50,1,gas,std,two,hatchback,4wd,front,93.1,159.1,64.2,54.1,1890.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000,30,31,5195.0,mazda
51,1,gas,std,two,hatchback,4wd,front,93.1,159.1,64.2,54.1,1900.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000,31,38,6095.0,mazda
52,1,gas,std,two,hatchback,4wd,front,93.1,159.1,64.2,54.1,1905.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000,31,38,6795.0,mazda
53,1,gas,std,four,sedan,4wd,front,93.1,166.8,64.2,54.1,1945.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000,31,38,6695.0,mazda
54,1,gas,std,four,sedan,4wd,front,93.1,166.8,64.2,54.1,1950.0,ohc,four,91.0,2bbl,3.08,3.15,9.0,68.0,5000,31,38,7395.0,mazda
55,3,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,two,70.0,4bbl,3.33,3.255,9.4,101.0,6000,17,23,10945.0,mazda
56,3,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,two,70.0,4bbl,3.33,3.255,9.4,101.0,6000,17,23,11845.0,mazda
57,3,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385.0,rotor,two,70.0,mpfi,3.33,3.255,9.4,101.0,6000,17,23,13645.0,mazda
58,3,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500.0,rotor,two,80.0,mpfi,3.33,3.255,9.4,135.0,6000,16,23,15645.0,mazda
